NAME,LONGITUDE,LATITUDE,CLASSIFICATION,ID
亿达科技,115.837,38.435,8,332.0
百脑汇电脑,116.104,38.446,8,336.0
戴尔电脑河间戴尔电脑专卖店,116.102,38.446999999999996,8,337.0
联想大史专卖店,116.214,38.411,8,350.0
迅雷电脑,116.102,38.455999999999996,8,352.0
方圆电脑,116.087,38.45,8,353.0
同方电脑,116.1,38.452,8,361.0
信诚电脑城,116.102,38.446999999999996,8,363.0
新天地电脑,116.295,38.497,8,364.0
创想电脑城,116.105,38.446,8,365.0
河间百盛电脑,116.10700000000001,38.441,8,367.0
宏达科技,116.09899999999999,38.446999999999996,5,376.0
雨田科技,116.11,38.445,8,377.0
河间伟东科技,116.11,38.445,8,378.0
腾达电脑城(城垣中路店),116.103,38.446,8,338.0
联创电脑城,116.094,38.448,8,342.0
顺达电脑,116.11,38.446,8,343.0
凯锐电脑城,116.103,38.446,8,349.0
鹏跃电脑,116.10799999999999,38.451,8,354.0
马良电脑,116.301,38.496,8,356.0
佳兴电脑,116.335,38.398,8,360.0
阳光科技电脑城,116.102,38.446999999999996,8,368.0
聚点电脑连锁超市,116.28200000000001,38.433,8,369.0
创想科技,115.837,38.437,8,331.0
亿达科技,115.837,38.435,8,332.0
联想到天创电脑旗舰店,116.11,38.446,8,335.0
华硕电脑,116.11,38.455,8,339.0
惠普电脑,116.301,38.495,8,346.0
方正电脑,116.103,38.451,8,348.0
海尔润眼电脑,116.098,38.457,8,355.0
可为电脑,116.10600000000001,38.455999999999996,8,357.0
宏远电脑科技,116.166,38.422,8,371.0
微星游戏电脑,116.09899999999999,38.446999999999996,8,373.0
华方科技,116.103,38.446,8,374.0
佳信电脑城,114.794,38.709,8,380.0
缃慹鐢佃剳,115.499,38.782,8,396.0
博诚科技,115.819,38.5,8,333.0
联想沙河镇专卖店,116.329,38.398,8,334.0
联想行别营专卖店,116.27,38.396,8,340.0
戴尔专卖店金钻店,116.104,38.446999999999996,8,341.0
河间市天创电脑,116.111,38.445,8,344.0
鼎好科技,116.103,38.446,8,345.0
宏基电脑,116.11200000000001,38.445,8,347.0
顺佳电脑,116.11,38.446,8,351.0
智力电脑,116.1,38.452,8,358.0
人人电脑,116.29899999999999,38.497,8,359.0
小兵电脑,116.0,38.515,8,362.0
荣昌电脑城,116.335,38.398,8,366.0
清华同方电脑专卖店(城垣中路店),116.101,38.446999999999996,8,370.0
春雨电脑科技,116.109,38.445,8,372.0
掌上天下数码科技,116.101,38.446999999999996,8,375.0
戴尔电脑口头镇专卖,114.402,38.609,8,379.0
强宇电脑,114.916,38.734,8,381.0
微讯电脑,115.152,38.711999999999996,8,382.0
明华电脑城,115.154,38.711,8,383.0
蓝屋电脑,115.156,38.715,8,384.0
联创电脑店,115.167,38.713,8,385.0
戴尔电脑金钻店,115.165,38.713,8,386.0
联想电脑(九龙家园东),115.15799999999999,38.711999999999996,8,387.0
戴尔,115.15799999999999,38.711999999999996,8,388.0
我的电脑,115.152,38.711999999999996,8,389.0
