USERID,SHOPID,ARRIVAL_TIME
1419.000,4.000,20140809115550
1467.000,4.000,20140816164537
1282.000,11.000,20140816132128
1282.000,11.000,20140816112508
1692.000,11.000,20140816182100
1692.000,11.000,20140809152750
1015.000,18.000,20140816132153
1904.000,18.000,20140809173518
1629.000,18.000,20140816112540
243.000,18.000,20140816135105
2697.000,18.000,20140816155155
379.000,18.000,20140816175913
1645.000,26.000,20140809110618
1424.000,26.000,20140816180854
1056.000,26.000,20140816140646
2297.000,26.000,20140816183145
8.000,26.000,20140816110331
1798.000,26.000,20140816153448
878.000,26.000,20140809152501
226.000,33.000,20140809184229
517.000,61.000,20140816140122
2191.000,61.000,20140809145745
517.000,61.000,20140816165016
2473.000,175.000,20140816101025
1738.000,181.000,20140816160323
1477.000,181.000,20140809112918
1477.000,181.000,20140809123648
1477.000,181.000,20140809173426
1477.000,181.000,20140809180941
1477.000,181.000,20140809195021
1738.000,181.000,20140809101823
1738.000,181.000,20140809112649
1477.000,181.000,20140816170249
1494.000,181.000,20140816140903
2022.000,181.000,20140816165509
2422.000,181.000,20140816181348
1738.000,181.000,20140816110058
1738.000,181.000,20140816141735
768.000,249.000,20140816124453
2680.000,249.000,20140816121004
1526.000,249.000,20140816143619
768.000,249.000,20140816193815
1123.000,288.000,20140816142441
2420.000,288.000,20140816140545
2136.000,288.000,20140816102659
1123.000,288.000,20140816125222
1481.000,293.000,20140809111141
1481.000,293.000,20140809175112
2565.000,416.000,20140809140855
236.000,416.000,20140816191206
1500.000,416.000,20140816125502
2512.000,416.000,20140816144858
494.000,416.000,20140816111132
1323.000,416.000,20140816105300
2512.000,416.000,20140809194845
975.000,416.000,20140809122820
1323.000,416.000,20140809120658
2252.000,418.000,20140809155333
2033.000,418.000,20140816102540
760.000,418.000,20140809130909
2732.000,418.000,20140809104954
616.000,429.000,20140816160251
275.000,514.000,20140816122242
811.000,520.000,20140809145737
1258.000,520.000,20140816171727
1208.000,520.000,20140816132629
1258.000,520.000,20140816145843
1426.000,520.000,20140816154358
2854.000,520.000,20140809173238
854.000,520.000,20140816191550
1426.000,520.000,20140816144308
1825.000,520.000,20140816172735
1284.000,520.000,20140809121404
2636.000,520.000,20140816100720
2655.000,533.000,20140816134642
293.000,533.000,20140816111021
725.000,533.000,20140816124454
701.000,533.000,20140816165754
427.000,535.000,20140816111254
168.000,537.000,20140809155341
1543.000,537.000,20140816184245
1543.000,537.000,20140816175303
1509.000,549.000,20140816130007
260.000,549.000,20140816163942
553.000,549.000,20140816180902
1221.000,549.000,20140816154431
142.000,549.000,20140816162033
946.000,549.000,20140809173644
1880.000,549.000,20140809145824
260.000,549.000,20140816150741
1278.000,549.000,20140816154039
1278.000,549.000,20140816144357
2286.000,549.000,20140816142223
708.000,549.000,20140809120103
946.000,549.000,20140809140454
553.000,549.000,20140809180945
1915.000,553.000,20140816122100
1233.000,553.000,20140809144857
1826.000,553.000,20140809164917
595.000,553.000,20140816191951
1575.000,635.000,20140816122732
1515.000,635.000,20140809180210
811.000,649.000,20140809105708
2385.000,656.000,20140816125446
978.000,658.000,20140816173424
288.000,658.000,20140816101703
2749.000,658.000,20140809102107
1645.000,659.000,20140809123022
1397.000,664.000,20140809154911
1397.000,664.000,20140809144617
1397.000,664.000,20140809120533
805.000,708.000,20140816153336
1583.000,734.000,20140816152159
1438.000,741.000,20140809184824
1454.000,743.000,20140816122356
2347.000,782.000,20140816111040
799.000,782.000,20140816102722
2891.000,820.000,20140816142842
1394.000,820.000,20140816143233
2187.000,936.000,20140809183604
128.000,936.000,20140816164732
1679.000,938.000,20140816114610
2228.000,974.000,20140816190931
2776.000,1019.000,20140816133058
2529.000,1019.000,20140816103638
934.000,1019.000,20140809112314
934.000,1019.000,20140809182947
221.000,1019.000,20140809110516
221.000,1019.000,20140809122329
83.000,1019.000,20140809104945
2432.000,1019.000,20140809175303
2503.000,1019.000,20140809100117
2503.000,1019.000,20140809135903
2529.000,1019.000,20140809133234
1267.000,1019.000,20140816143624
1451.000,1019.000,20140816105259
1451.000,1019.000,20140816112029
1734.000,1019.000,20140816114306
1734.000,1019.000,20140816130647
1807.000,1019.000,20140816144359
1807.000,1019.000,20140816154808
1807.000,1019.000,20140816174610
1328.000,1019.000,20140816103753
444.000,1019.000,20140816163545
444.000,1019.000,20140816175441
397.000,1019.000,20140816123921
934.000,1019.000,20140816193606
2642.000,1019.000,20140816164408
221.000,1019.000,20140816103106
2503.000,1019.000,20140816103905
2503.000,1019.000,20140816163801
1582.000,1059.000,20140816102105
1036.000,1101.000,20140809104441
1400.000,1104.000,20140809180058
2482.000,1129.000,20140816194137
1614.000,1198.000,20140809130700
2825.000,1198.000,20140809101427
1400.000,1198.000,20140809161220
1036.000,1217.000,20140816122145
1614.000,1217.000,20140816112359
2294.000,1224.000,20140816120616
1679.000,1632.000,20140816123709
1506.000,1632.000,20140816123219
768.000,1632.000,20140816172113
1142.000,1668.000,20140809134620
1142.000,1668.000,20140816120709
1142.000,1674.000,20140809171209
2775.000,1689.000,20140816140000
2677.000,1765.000,20140816134506
1487.000,1765.000,20140816154755
550.000,1784.000,20140809125903
148.000,1784.000,20140809180655
2164.000,1784.000,20140809112234
2685.000,1784.000,20140816163743
1855.000,1784.000,20140816173938
1030.000,1784.000,20140809142704
2553.000,1784.000,20140816152952
703.000,1784.000,20140816190619
208.000,1814.000,20140809135205
1344.000,1814.000,20140816194325
1392.000,1814.000,20140816112741
1952.000,1814.000,20140816115158
1265.000,1845.000,20140816180509
1945.000,1845.000,20140809160126
1887.000,1845.000,20140809165609
1142.000,1864.000,20140816145926
558.000,1881.000,20140816165346
1096.000,1881.000,20140816125712
558.000,1881.000,20140816135454
558.000,1881.000,20140816143140
719.000,1888.000,20140816172503
2057.000,1888.000,20140816141410
2807.000,1893.000,20140816120349
1250.000,1898.000,20140809174059
2755.000,1910.000,20140816145931
987.000,1942.000,20140809172318
2719.000,1942.000,20140809141849
1600.000,1942.000,20140809120708
518.000,1970.000,20140809180139
1217.000,2032.000,20140809165606
293.000,2072.000,20140809105343
2370.000,2114.000,20140816175731
504.000,2114.000,20140816145934
64.000,2114.000,20140816193049
653.000,2114.000,20140816150105
1328.000,2155.000,20140816114655
757.000,2155.000,20140816153037
1044.000,2162.000,20140816103144
444.000,2181.000,20140816184830
2639.000,2184.000,20140816182831
1489.000,2239.000,20140809142712
349.000,2480.000,20140816145012
99.000,2480.000,20140816103744
30.000,3028.000,20140809121503
278.000,3028.000,20140816151426
278.000,3028.000,20140816122541
86.000,3028.000,20140816190402
278.000,3028.000,20140816183300
86.000,3028.000,20140809182523
278.000,3028.000,20140809103146
582.000,3028.000,20140809125953
582.000,3028.000,20140809175726
582.000,3028.000,20140809180108
2580.000,3028.000,20140816193415
2157.000,3028.000,20140816172437
1203.000,3028.000,20140816144943
1203.000,3028.000,20140816170137
1925.000,3056.000,20140809170452
281.000,3073.000,20140816162747
1981.000,3075.000,20140809163504
1800.000,3110.000,20140816185504
30.000,3110.000,20140816100442
137.000,3127.000,20140816185732
88.000,3148.000,20140809194301
1238.000,3164.000,20140809190018
785.000,3164.000,20140809171248
