USERID,INCOME,ENTERTAINMENT,BABY,GENDER,SHOPPING
1.000,3,1,0,2,2
2.000,2,5,0,1,5
3.000,3,3,0,1,9
4.000,2,1,1,2,2
5.000,2,6,0,1,5
6.000,2,1,1,2,2
7.000,2,1,1,2,2
8.000,2,4,0,1,6
9.000,2,3,0,2,7
10.000,1,2,0,1,3
11.000,2,1,0,1,7
12.000,1,5,0,1,6
13.000,2,1,0,1,8
14.000,2,1,1,2,7
15.000,2,1,1,2,2
16.000,3,2,0,2,9
17.000,1,2,1,1,5
18.000,2,3,0,2,2
19.000,2,6,0,1,5
20.000,1,1,0,2,5
21.000,1,1,0,2,3
22.000,2,1,0,2,8
23.000,1,5,0,1,6
24.000,2,6,0,1,5
25.000,2,1,0,1,5
26.000,2,1,0,2,8
27.000,3,3,0,2,2
28.000,2,2,0,2,6
29.000,2,2,0,2,10
30.000,3,3,0,1,9
31.000,2,7,0,2,8
32.000,3,3,0,1,9
33.000,2,1,1,2,2
34.000,3,3,0,1,9
35.000,2,2,0,1,4
36.000,2,6,0,1,2
37.000,3,3,0,1,9
38.000,3,3,0,1,9
39.000,1,2,0,2,8
40.000,1,4,0,1,8
41.000,1,3,0,1,2
42.000,2,1,1,2,7
43.000,1,1,0,2,6
44.000,2,4,0,1,1
45.000,2,1,1,2,7
46.000,1,2,0,1,2
47.000,3,3,0,1,9
48.000,2,1,1,2,2
49.000,2,1,1,2,7
50.000,2,3,0,2,2
51.000,3,4,0,2,6
52.000,3,1,0,1,1
53.000,2,1,1,2,2
54.000,2,1,0,2,1
55.000,2,2,0,1,2
56.000,2,1,1,2,2
57.000,1,3,0,2,1
58.000,3,5,0,2,9
59.000,3,3,0,1,9
60.000,2,1,1,2,2
61.000,1,4,0,2,4
62.000,2,1,0,2,5
63.000,2,6,0,1,4
64.000,3,3,0,1,9
65.000,3,3,0,1,9
66.000,1,3,0,2,7
67.000,2,1,1,2,2
68.000,3,6,0,2,6
69.000,3,3,0,1,9
70.000,3,3,0,1,9
71.000,2,1,0,1,5
72.000,3,3,0,1,9
73.000,3,5,0,2,7
74.000,3,2,0,1,5
75.000,3,6,0,1,4
76.000,2,1,1,2,2
77.000,1,5,0,1,5
78.000,1,6,0,1,9
79.000,3,3,0,1,9
80.000,2,2,0,1,5
81.000,2,3,0,1,7
82.000,3,5,0,1,7
83.000,2,1,1,2,7
84.000,2,5,0,1,6
85.000,3,3,0,1,9
86.000,2,1,1,2,7
87.000,3,1,0,2,3
88.000,2,1,1,2,7
89.000,2,4,0,2,8
90.000,2,1,1,2,2
91.000,3,6,0,2,2
92.000,2,2,0,1,5
93.000,3,3,0,1,9
94.000,1,2,1,1,5
95.000,3,6,0,2,5
96.000,2,3,0,2,8
97.000,3,3,0,1,9
98.000,3,3,0,1,9
99.000,3,3,0,1,9
100.000,3,1,0,2,10
101.000,1,1,0,1,5
102.000,1,4,0,2,8
103.000,3,2,0,1,6
104.000,1,3,0,2,5
105.000,3,3,0,1,9
106.000,3,5,0,1,1
107.000,1,2,0,1,8
108.000,1,2,0,1,2
109.000,1,3,0,1,10
110.000,3,3,0,1,9
111.000,3,1,0,2,4
112.000,1,5,0,2,3
113.000,1,4,0,1,9
114.000,3,3,0,1,9
115.000,2,1,1,2,2
116.000,3,1,0,2,8
117.000,3,3,0,1,9
118.000,3,1,0,1,10
119.000,2,1,0,1,4
120.000,3,2,0,2,10
121.000,3,4,0,2,4
122.000,2,1,0,2,9
123.000,3,4,0,1,9
124.000,1,4,0,2,3
125.000,1,1,0,2,2
126.000,2,1,1,2,2
127.000,3,3,0,1,9
128.000,3,3,0,1,9
129.000,1,5,0,2,5
130.000,2,1,1,2,2
131.000,3,5,0,2,3
132.000,1,1,1,2,1
133.000,3,3,0,1,9
134.000,2,1,0,1,5
135.000,1,5,0,2,9
136.000,3,5,0,1,6
137.000,2,3,1,2,8
138.000,2,1,0,1,5
139.000,2,1,1,2,2
140.000,1,6,0,2,5
141.000,3,3,0,1,9
142.000,2,1,0,1,5
143.000,1,5,0,1,1
144.000,1,2,0,1,6
145.000,2,1,1,2,2
146.000,3,3,0,2,9
147.000,2,1,1,2,2
148.000,3,3,0,1,9
149.000,2,2,0,1,8
150.000,3,2,0,1,6
151.000,2,1,1,2,2
152.000,3,3,0,1,9
153.000,2,1,1,2,2
154.000,3,3,0,1,9
155.000,1,6,0,2,8
156.000,3,3,0,1,9
157.000,3,3,0,1,9
158.000,3,3,0,1,9
159.000,2,5,0,1,4
160.000,3,3,0,1,9
161.000,2,4,0,2,1
162.000,2,7,0,1,5
163.000,3,6,0,2,10
164.000,1,4,0,2,10
165.000,2,2,0,1,5
166.000,2,1,1,2,2
167.000,3,3,0,1,9
168.000,2,2,0,2,4
169.000,2,4,0,1,4
170.000,1,3,0,1,4
171.000,3,3,0,1,9
172.000,3,3,0,1,9
173.000,3,3,0,1,9
174.000,2,4,0,2,2
175.000,1,4,0,1,1
176.000,2,1,1,2,7
177.000,2,1,0,1,5
178.000,3,3,0,1,9
179.000,3,5,0,1,3
180.000,3,1,0,1,9
181.000,2,4,0,1,10
182.000,1,2,1,1,5
183.000,2,4,0,1,10
184.000,3,6,0,1,8
185.000,2,1,1,2,2
186.000,2,1,1,2,2
187.000,2,1,0,2,3
188.000,2,1,1,2,7
189.000,3,3,0,2,8
190.000,2,1,1,2,2
191.000,3,1,0,2,3
192.000,3,1,0,2,4
193.000,3,2,0,2,3
194.000,3,3,0,1,9
195.000,3,3,0,1,10
196.000,3,3,0,1,9
197.000,2,1,1,2,2
198.000,2,1,1,2,7
199.000,1,6,0,1,4
200.000,3,3,0,1,9
201.000,3,4,0,1,10
202.000,2,1,1,2,2
203.000,1,3,0,1,4
204.000,1,2,1,1,5
205.000,2,6,0,2,8
206.000,3,3,0,2,3
207.000,2,1,1,2,2
208.000,3,3,0,1,9
209.000,3,4,0,1,7
210.000,2,1,1,2,2
211.000,2,5,0,2,1
212.000,1,6,0,2,6
213.000,1,6,0,2,3
214.000,1,3,0,2,5
215.000,3,1,0,2,8
216.000,2,1,0,2,9
217.000,2,5,0,2,6
218.000,1,1,0,2,7
219.000,3,1,0,2,4
220.000,3,6,0,2,6
221.000,2,1,1,2,7
222.000,1,3,0,1,5
223.000,3,2,0,1,9
224.000,1,2,1,1,5
225.000,3,2,0,1,1
226.000,2,2,0,1,5
227.000,2,5,0,1,2
228.000,2,3,0,2,7
229.000,2,1,0,2,8
230.000,3,1,0,2,3
231.000,3,3,0,2,8
232.000,1,1,0,2,5
233.000,2,1,1,2,2
234.000,1,3,0,2,8
235.000,3,5,0,2,10
236.000,2,2,0,1,5
237.000,2,1,1,2,2
238.000,3,3,0,1,9
239.000,2,1,1,2,2
240.000,2,1,1,2,2
241.000,3,2,0,2,3
242.000,3,5,0,1,5
243.000,2,1,0,1,5
244.000,2,1,0,1,5
245.000,3,2,0,2,8
246.000,2,1,1,2,2
247.000,3,3,0,1,9
248.000,3,3,0,1,9
249.000,2,1,1,2,2
250.000,3,1,0,1,6
251.000,3,3,0,1,9
252.000,2,1,0,1,10
253.000,3,5,0,2,9
254.000,1,2,0,2,8
255.000,3,3,0,1,9
256.000,3,3,0,1,9
257.000,1,2,0,2,8
258.000,2,5,0,1,3
259.000,2,2,0,1,1
260.000,2,1,0,1,5
261.000,3,6,0,1,2
262.000,2,3,0,2,2
263.000,1,2,0,2,6
264.000,3,3,0,1,9
265.000,2,1,1,2,2
266.000,2,3,0,2,6
267.000,3,3,0,1,9
268.000,2,1,1,2,2
269.000,2,1,1,2,2
270.000,2,1,0,2,10
271.000,2,1,1,2,2
272.000,2,1,1,2,2
273.000,2,2,0,2,7
274.000,2,3,0,2,5
275.000,2,6,0,1,5
276.000,2,1,1,2,2
277.000,3,2,0,1,3
278.000,2,1,1,2,7
279.000,2,1,1,2,2
280.000,2,2,0,1,1
281.000,3,3,0,1,9
282.000,3,1,0,1,2
283.000,3,3,0,1,9
284.000,2,1,1,2,7
285.000,2,1,1,2,2
