USERID,BEGIN_TIME,STARTLONGTITUDE,STARTLATITUDE,DURATION
2544.000,20140809113206,115.452,38.855,2.000
2544.000,20140809125331,115.483,38.865,3.000
2544.000,20140809130759,115.488,38.853,2.000
2544.000,20140809141712,115.488,38.853,4.000
2544.000,20140809150527,115.488,38.853,4.000
2544.000,20140809164522,115.488,38.853,2.000
2544.000,20140809175200,115.488,38.853,2.000
2544.000,20140809183833,115.488,38.853,2.000
2169.000,20140809125359,116.013,39.102,32.000
2169.000,20140809134615,116.029,39.117,32.000
2169.000,20140809152852,116.032,39.107,33.000
2169.000,20140809164713,116.037,39.113,39.000
2169.000,20140809174932,116.023,39.104,22.000
2169.000,20140809180817,116.037,39.113,38.000
2169.000,20140816110520,116.013,39.102,35.000
2169.000,20140816124115,116.037,39.113,35.000
2169.000,20140816133154,116.037,39.113,37.000
2169.000,20140816152418,116.037,39.113,36.000
2169.000,20140816165120,116.037,39.113,29.000
2169.000,20140816174938,116.029,39.117,17.000
2169.000,20140816191125,116.037,39.113,22.000
2545.000,20140809103159,115.731,38.666,2.000
2545.000,20140809110822,115.757,38.646,4.000
2545.000,20140809121748,115.757,38.646,1.000
2545.000,20140809133027,115.757,38.646,4.000
2545.000,20140809163900,115.757,38.646,4.000
2545.000,20140809174238,115.756,38.644,2.000
2545.000,20140809182452,115.756,38.644,1.000
2545.000,20140809192233,115.757,38.646,4.000
2545.000,20140816134349,115.731,38.666,2.000
2545.000,20140816143408,115.756,38.644,2.000
2546.000,20140809105733,115.353,38.998,2.000
2546.000,20140809110912,115.363,38.942,3.000
2546.000,20140809121742,115.451,38.564,1.000
2546.000,20140809165048,115.302,38.538,4.000
2546.000,20140809172022,115.285,38.557,1.000
2546.000,20140809182320,115.298,38.463,3.000
2546.000,20140809190025,115.285,38.557,4.000
2546.000,20140816103253,115.302,38.538,3.000
2546.000,20140816125629,115.285,38.557,2.000
2546.000,20140816130155,115.232,38.509,1.000
2546.000,20140816163926,115.107,38.531,1.000
2546.000,20140816175428,115.192,38.532,3.000
2546.000,20140816182658,115.302,38.538,4.000
339.000,20140809102806,115.644,38.889,2.000
339.000,20140809134831,115.644,38.889,4.000
339.000,20140809142743,115.644,38.889,3.000
339.000,20140809153753,115.627,38.902,1.000
339.000,20140809175605,115.620,38.871,4.000
339.000,20140809180642,115.620,38.871,3.000
339.000,20140809190136,115.627,38.902,1.000
339.000,20140816102242,115.627,38.902,4.000
339.000,20140816121511,115.644,38.889,4.000
339.000,20140816141437,115.627,38.902,4.000
339.000,20140816154259,115.620,38.871,3.000
339.000,20140816161808,115.620,38.871,1.000
339.000,20140816173107,115.644,38.889,1.000
339.000,20140816180245,115.644,38.889,4.000
339.000,20140816190455,115.644,38.889,2.000
1461.000,20140809113114,115.452,38.884,15.000
1461.000,20140809123003,115.420,38.893,15.000
1461.000,20140809134118,115.445,38.891,19.000
1461.000,20140809143657,115.462,38.911,30.000
1461.000,20140809153600,115.533,38.883,33.000
1461.000,20140809161645,115.561,38.889,32.000
1461.000,20140809173332,115.459,38.892,22.000
1461.000,20140809180524,115.421,38.897,33.000
1461.000,20140816113436,115.452,38.884,19.000
1461.000,20140816124652,115.443,38.887,31.000
1461.000,20140816130348,115.459,38.892,27.000
1461.000,20140816165231,115.449,38.902,32.000
1461.000,20140816171913,115.455,38.897,24.000
1462.000,20140809105722,115.160,38.881,38.000
1462.000,20140809110339,115.211,38.893,36.000
1462.000,20140809122825,115.196,38.859,22.000
1462.000,20140809135143,115.131,38.858,35.000
1462.000,20140809140225,115.118,38.875,18.000
1462.000,20140809154606,115.154,38.866,15.000
1462.000,20140809164350,115.154,38.866,26.000
1462.000,20140809172225,115.126,38.851,36.000
1462.000,20140809181324,115.215,38.890,25.000
1462.000,20140809195539,115.215,38.890,31.000
1463.000,20140809103755,114.664,38.804,3.000
1463.000,20140809111315,114.780,38.774,3.000
1463.000,20140809124702,114.788,38.678,4.000
1463.000,20140809130551,114.777,38.702,2.000
1463.000,20140809140825,114.737,38.693,1.000
1463.000,20140809161207,114.780,38.774,4.000
1463.000,20140809172735,114.881,38.692,1.000
1463.000,20140809190926,114.788,38.678,3.000
1463.000,20140816104447,114.777,38.702,1.000
1463.000,20140816123301,114.788,38.678,4.000
1463.000,20140816142344,114.777,38.702,1.000
1820.000,20140809105351,115.867,38.965,17.000
1820.000,20140809115302,115.867,38.965,28.000
1820.000,20140809121442,115.867,38.965,18.000
1820.000,20140809141859,115.867,38.965,30.000
1820.000,20140809150248,115.850,38.971,20.000
1820.000,20140809163445,115.798,38.978,38.000
1820.000,20140809172509,115.832,39.006,32.000
1820.000,20140809180430,115.824,38.973,27.000
1820.000,20140809190146,115.839,38.984,23.000
1820.000,20140816101143,115.868,38.950,26.000
1820.000,20140816113304,115.843,38.971,20.000
1820.000,20140816174155,115.868,38.950,16.000
1820.000,20140816180023,115.839,38.973,16.000
1820.000,20140816190013,115.844,38.978,16.000
1.000,20140809124833,115.459,38.827,3.000
1.000,20140809144618,115.746,38.681,4.000
1.000,20140809155035,115.882,38.671,1.000
1.000,20140809160531,115.921,38.683,4.000
1.000,20140809180207,115.491,38.819,2.000
1.000,20140809190136,115.449,38.841,3.000
1.000,20140816101052,115.449,38.841,4.000
1.000,20140816111923,115.439,38.836,4.000
1.000,20140816121005,115.451,38.837,1.000
1.000,20140816130853,115.451,38.837,1.000
1.000,20140816155602,115.449,38.841,4.000
1.000,20140816171033,115.451,38.837,4.000
2170.000,20140809114512,116.217,38.928,2.000
2170.000,20140809120731,116.217,38.928,2.000
2170.000,20140809140950,116.218,38.928,4.000
