USERID,SHOPID,ARRIVAL_TIME
410,18,20140809142715
2398,9251,20140809140756
2326,9251,20140809163345
2428,9275,20140809141340
1327,5355,20140809141755
134,6662,20140809151228
134,6662,20140809180309
2078,6662,20140809121752
134,6662,20140809143348
2776,293,20140809111527
494,3362,20140809155306
494,3362,20140809132651
494,3471,20140809143538
2245,9067,20140809183822
2690,9067,20140809161344
767,9296,20140809184943
2655,7997,20140809131206
492,9069,20140809131432
1294,5023,20140809170926
1278,5023,20140809111206
763,553,20140809154910
2760,558,20140809162913
1305,558,20140809155824
598,9118,20140809171243
545,655,20140809110819
2609,9133,20140809121939
1182,9151,20140809175307
799,8736,20140809155637
128,974,20140809152952
2031,818,20140809101647
2776,2199,20140809163430
1273,2199,20140809170226
1188,2199,20140809175613
1381,2199,20140809174247
1184,8940,20140809142119
1273,8861,20140809124020
1273,2199,20140809164646
99,8931,20140809182117
2370,2199,20140809105703
2876,8476,20140809120441
2614,1127,20140809144944
781,818,20140809154721
128,8736,20140809131156
255,8736,20140809111330
188,1668,20140809103011
188,1788,20140809112204
2685,9582,20140809174413
1839,1788,20140809170656
723,1668,20140809141100
1733,3119,20140809175804
558,9604,20140809115943
1168,1778,20140809192105
558,1881,20140809153019
558,1874,20140809190851
1996,9703,20140809165154
1905,2001,20140809192814
1152,2134,20140809182914
2370,1018,20140809135208
2370,1018,20140809123500
1044,1018,20140809124833
2537,1018,20140809193645
1044,1018,20140809132735
565,2241,20140809154259
281,9471,20140809153347
2580,9445,20140809104037
2580,9445,20140809185614
1993,9582,20140809173203
898,3293,20140809144031
687,3201,20140809173501
2308,3201,20140809125958
618,1910,20140809174903
473,2275,20140809133734
898,3293,20140809193736
2412,8061,20140809103359
2555,9781,20140809142744
788,605,20140809104248
176,605,20140809121730
176,2021,20140809135713
176,605,20140809141745
1013,605,20140809120909
2755,605,20140809100209
2755,605,20140809112654
110,9845,20140809173116
2087,3405,20140809190149
363,9869,20140809101516
2450,7787,20140809130025
2195,3405,20140809172901
1806,3405,20140809191502
1806,3405,20140809184155
37,9855,20140809150309
755,3527,20140809124432
1465,3527,20140809185225
1465,3527,20140809154106
1465,3527,20140809143444
1465,3527,20140809115327
2429,3527,20140809191933
2434,3497,20140809122027
2489,3527,20140809191220
2003,3419,20140809182716
2847,9961,20140809101737
1068,3776,20140809132544
1210,8979,20140809120534
404,9318,20140809115203
1118,3830,20140809160516
2591,3830,20140809122638
2655,3771,20140809153235
329,9198,20140809190117
2728,9019,20140809195853
1798,4848,20140809121357
725,7310,20140809110653
1903,3836,20140809104551
641,8995,20140809172329
2260,9051,20140809170227
2537,4986,20140809141710
2071,9290,20140809165221
1534,9151,20140809133829
2699,9020,20140809112920
2627,553,20140809134511
2627,9270,20140809192352
2352,9164,20140809115508
2245,9164,20140809172752
2071,9167,20140809123553
854,9151,20140809175800
1175,9167,20140809102615
72,9296,20140809113606
72,9164,20140809154243
72,9164,20140809173900
69,9164,20140809115410
152,3861,20140809160955
152,9047,20140809195045
450,4260,20140809154642
1473,4304,20140809153733
926,10426,20140809195136
926,10426,20140809160208
2901,10426,20140809193513
2507,10413,20140809102158
1752,4304,20140809141038
2520,4294,20140809161521
2163,4294,20140809110630
2608,4304,20140809191535
2530,4347,20140809114542
2530,4347,20140809124104
1225,4363,20140809191523
1225,4363,20140809160918
1225,4363,20140809114827
2901,10409,20140809115813
2163,4369,20140809135410
2507,4387,20140809151804
427,10434,20140809165730
1242,4369,20140809175508
427,4296,20140809145758
127,4304,20140809173454
1464,3776,20140809195239
433,7360,20140809174853
680,681,20140809172248
1498,11273,20140809180646
2899,4519,20140809153258
1511,4555,20140809175627
612,4655,20140809175412
1440,4483,20140809142550
2476,4483,20140809143107
1129,4627,20140809104252
2059,10986,20140809162313
849,7444,20140809131734
669,10986,20140809150432
1129,4627,20140809110508
597,11461,20140809125032
1127,5933,20140809134909
49,9235,20140809155111
2025,524,20140809190245
49,9067,20140809130543
2428,9151,20140809102735
387,5003,20140809103748
767,9267,20140809174935
2836,4895,20140809102432
1102,9051,20140809144552
916,7977,20140809113429
404,8013,20140809140655
404,8013,20140809165555
1834,7350,20140809182545
1778,4848,20140809103129
1248,4848,20140809141549
567,4848,20140809120037
1778,520,20140809133210
1948,9177,20140809153315
2264,4925,20140809111745
1387,4848,20140809172017
2411,3836,20140809122226
1501,9008,20140809153621
1501,9008,20140809165128
804,9245,20140809131512
1510,4910,20140809152655
496,7310,20140809172000
496,7310,20140809151153
1501,9008,20140809123149
1501,9008,20140809105945
1510,3792,20140809110918
1798,3790,20140809155933
1311,5152,20140809100409
1054,9251,20140809190832
1739,5099,20140809150534
1739,5099,20140809135551
1820,5099,20140809180430
1808,5240,20140809191845
896,10554,20140809133833
14,10573,20140809144803
14,10573,20140809164939
2062,10610,20140809160324
2062,10610,20140809145032
2062,10554,20140809154443
167,10572,20140809134353
2062,10572,20140809192157
167,10572,20140809122419
1953,10572,20140809171337
1953,10572,20140809145034
1953,10572,20140809112853
1043,5202,20140809100349
1151,5144,20140809151154
2857,5257,20140809105425
117,10554,20140809193554
167,10573,20140809181745
383,10622,20140809173943
383,5202,20140809153846
2038,5290,20140809152943
2564,5393,20140809140934
2865,5299,20140809163332
2222,10653,20140809183042
2706,10701,20140809114352
660,10680,20140809192735
756,10680,20140809164602
756,10680,20140809151705
756,10680,20140809122745
2706,10680,20140809180547
2644,10672,20140809170755
2644,10672,20140809161812
2644,10672,20140809150915
2644,10672,20140809120231
1082,3177,20140809110119
2768,10893,20140809101408
930,10893,20140809175838
2139,10937,20140809111352
690,5817,20140809135032
2465,5669,20140809103937
930,10893,20140809163709
2768,10887,20140809113412
2768,5740,20140809123518
1913,10974,20140809103707
484,6259,20140809170512
2623,11725,20140809142339
1852,11756,20140809113134
1973,11769,20140809101014
2654,11596,20140809143729
2108,11601,20140809104324
2287,7098,20140809103153
2287,7248,20140809161723
2131,6574,20140809100447
2579,11829,20140809123506
1165,11892,20140809160257
1165,11892,20140809185314
1165,11892,20140809191150
2078,11892,20140809174312
2078,11892,20140809104130
1429,11892,20140809113941
1619,11204,20140809175737
2600,11496,20140809115543
2001,11063,20140809142155
2484,11063,20140809153423
2078,6657,20140809144944
2587,7149,20140809175801
2078,6657,20140809155438
2078,6615,20140809135233
2078,6615,20140809113124
915,6615,20140809125429
2131,11204,20140809110314
1554,7244,20140809172139
1554,7244,20140809160454
1554,7244,20140809130156
1277,11829,20140809162249
1429,6657,20140809141007
1977,7244,20140809101938
1277,11927,20140809134853
2094,7149,20140809180130
2131,7248,20140809172626
71,9270,20140809155454
204,3870,20140809150530
2003,9246,20140809134555
1469,9102,20140809143507
496,5034,20140809191947
2323,5006,20140809124305
806,5042,20140809134316
1199,9164,20140809131413
1638,8,20140809165433
733,7353,20140809103139
1989,7353,20140809155732
734,7360,20140809124841
660,10660,20140809143446
628,5752,20140809163157
628,5752,20140809194326
2878,5752,20140809114525
695,4801,20140809161417
1733,898,20140809162151
2450,9961,20140809115336
2537,9096,20140809131412
2656,8002,20140809143948
1877,3870,20140809101030
473,1919,20140809141523
850,4371,20140809112149
656,3771,20140809123830
1210,4986,20140809183843
1218,3759,20140809155052
1599,9266,20140809135707
1218,7977,20140809190443
1599,4929,20140809170920
2334,9272,20140809165845
438,5042,20140809115039
1993,9582,20140809101853
475,7369,20140809154836
177,7369,20140809195158
1991,7369,20140809122117
402,2199,20140809121538
1123,293,20140809182351
1123,293,20140809144427
239,8066,20140809150112
341,8931,20140809112357
341,8931,20140809132946
341,8931,20140809170523
486,8066,20140809105512
402,8066,20140809101831
1037,8931,20140809145017
1316,8931,20140809112716
1185,8931,20140809134045
1184,8931,20140809102040
1734,8931,20140809160431
1495,8931,20140809113703
2130,8931,20140809155103
2614,8476,20140809162625
752,8829,20140809122032
705,818,20140809161043
2367,8940,20140809100524
2367,8940,20140809114618
2367,8940,20140809154446
2340,8972,20140809121703
2513,8940,20140809110423
1188,8940,20140809145907
1188,8940,20140809150635
1188,8940,20140809165450
1390,8940,20140809181722
1451,8940,20140809181034
1698,8940,20140809182453
1698,8940,20140809192450
1835,8940,20140809121325
1835,8940,20140809131332
1835,8940,20140809155219
1835,8940,20140809164139
1835,8940,20140809185216
1835,8940,20140809195600
2492,8954,20140809151753
1037,8940,20140809103519
1338,8940,20140809185901
1188,8940,20140809102455
2340,2174,20140809182201
486,8972,20140809155020
341,8972,20140809165151
2492,2174,20140809130549
2340,8972,20140809195636
2340,2174,20140809141732
1006,8940,20140809102119
721,2174,20140809123647
1708,2199,20140809163825
1147,2042,20140809160018
2340,2174,20140809103345
1147,2042,20140809155847
384,9164,20140809124912
285,7997,20140809114536
1524,515,20140809155659
1524,515,20140809183146
1524,515,20140809163710
1218,9263,20140809112253
1387,9096,20140809133756
1387,9096,20140809143235
2351,9020,20140809184419
535,9057,20140809175923
1812,9151,20140809171236
2366,7369,20140809123307
439,515,20140809130520
767,9194,20140809112406
2412,524,20140809152830
2656,4986,20140809150657
1412,3775,20140809153854
1412,3775,20140809162423
1412,3775,20140809195816
2757,9151,20140809192836
1464,9057,20140809170235
459,9151,20140809190345
2824,7304,20140809110324
778,9027,20140809181643
725,9096,20140809172018
2552,5042,20140809141732
1182,524,20140809150405
1877,7340,20140809161301
1162,9135,20140809173321
2217,7308,20140809180939
1387,7925,20140809154803
1387,7925,20140809165532
1799,550,20140809130047
1869,9206,20140809182458
2675,9263,20140809110236
2675,9263,20140809155308
1218,9114,20140809145213
2604,5028,20140809125050
2316,4916,20140809145947
1538,4916,20140809132030
1538,4916,20140809155133
1475,9206,20140809120327
656,9723,20140809110300
1019,5028,20140809175650
857,9123,20140809114358
857,9123,20140809155458
857,9123,20140809193609
545,9123,20140809120330
545,9123,20140809163727
2551,7996,20140809190602
15,9299,20140809164309
6,9299,20140809105529
1968,9,20140809144917
1332,9,20140809142544
1332,9,20140809184919
204,9151,20140809162759
2636,9167,20140809175946
850,9177,20140809134910
1929,5023,20140809150307
1834,9151,20140809145427
2248,9263,20140809145201
2264,9279,20140809180940
2653,9279,20140809151535
409,9,20140809135511
409,4947,20140809154001
901,7304,20140809185103
729,9279,20140809174042
883,9113,20140809183505
276,9135,20140809114709
1924,3836,20140809100820
2728,9164,20140809114747
2201,9123,20140809100832
2201,9243,20140809160909
132,9147,20140809182014
986,9151,20140809163749
986,9151,20140809155909
1896,9151,20140809154013
2636,9151,20140809123722
1538,9159,20140809140116
1279,652,20140809124138
2145,652,20140809113803
2145,652,20140809105045
1790,8,20140809132434
1279,652,20140809134520
1279,652,20140809182911
857,4345,20140809170711
1335,9190,20140809140857
1335,9190,20140809151439
1581,9190,20140809135146
670,9047,20140809193037
670,4947,20140809164328
2264,9151,20140809104240
1944,9194,20140809171523
1944,9194,20140809165010
2800,3743,20140809115923
1097,9265,20140809184708
1248,4968,20140809153500
2010,4910,20140809135403
1589,9076,20140809181033
2873,10488,20140809120130
986,9167,20140809102112
1799,1910,20140809144008
899,10494,20140809135123
1332,9035,20140809104720
2326,7362,20140809101028
1989,9188,20140809192901
666,9303,20140809123359
809,7362,20140809182733
379,7360,20140809121527
806,9245,20140809181041
1424,7360,20140809153057
1581,7975,20140809141835
715,7975,20140809160415
745,9020,20140809192627
49,515,20140809172919
1789,1930,20140809181450
289,9289,20140809165450
289,9289,20140809100750
1538,9159,20140809115747
2398,3758,20140809123808
2534,9118,20140809124514
404,4965,20140809174920
475,9299,20140809125801
422,4962,20140809121502
422,9272,20140809111301
422,4962,20140809152312
1159,4401,20140809155217
2145,8,20140809160510
1017,9251,20140809174847
1387,8,20140809183446
2326,8,20140809174704
2351,9333,20140809121522
2351,9333,20140809150520
1948,9333,20140809110145
1948,9333,20140809105728
492,9449,20140809121607
137,9471,20140809164312
1823,3090,20140809114622
2262,9582,20140809102357
188,9537,20140809190446
583,9647,20140809120056
583,9647,20140809144516
583,9647,20140809172826
176,1930,20140809152329
2755,1930,20140809163651
2308,3201,20140809145303
2107,1962,20140809123030
2130,8940,20140809191809
2490,7787,20140809120320
2617,3527,20140809103909
1959,3527,20140809160646
2490,3527,20140809103723
2831,9961,20140809132908
450,4260,20140809140512
538,4260,20140809155453
538,4260,20140809122150
2210,4260,20140809154218
538,4260,20140809104105
1223,10422,20140809102347
1027,10422,20140809183036
1097,4925,20140809161013
2247,9151,20140809114613
1602,9151,20140809113714
2882,9252,20140809100615
492,3080,20140809153925
1834,8,20140809104349
419,8,20140809192909
1224,10590,20140809104542
2035,10554,20140809181934
2035,10554,20140809144930
1900,10554,20140809132410
716,7981,20140809144351
2038,10616,20140809165547
2829,5118,20140809112944
2829,10616,20140809174053
1340,9118,20140809123730
1340,9177,20140809111459
1159,9200,20140809171357
2097,10604,20140809131356
1033,10577,20140809120004
1095,5064,20140809125029
1095,5064,20140809141205
1095,5064,20140809154406
1095,5064,20140809161246
1095,5064,20140809180810
14,10573,20140809174523
2861,5064,20140809170659
2582,10665,20140809132832
450,10706,20140809104036
2222,5417,20140809175232
2878,10828,20140809123236
2878,10828,20140809195111
2454,10828,20140809100149
690,5748,20140809160704
930,10813,20140809184348
992,4549,20140809143633
2572,11245,20140809103104
166,7180,20140809174322
185,11927,20140809125355
1980,11018,20140809182612
2735,10977,20140809193608
2455,11262,20140809152335
2129,11404,20140809142143
1760,11437,20140809135536
1122,11441,20140809121257
945,11441,20140809121849
945,11335,20140809110554
703,5933,20140809125352
703,5933,20140809134750
703,5933,20140809192543
562,5948,20140809184715
593,6367,20140809102751
1362,11518,20140809141144
210,6303,20140809161640
2146,11603,20140809195645
589,11559,20140809145545
952,6303,20140809165201
2738,11764,20140809193629
2738,11764,20140809183321
2169,11764,20140809152852
2271,11596,20140809102629
1852,11756,20140809173122
2086,11541,20140809145327
2086,6303,20140809135650
2013,11541,20140809134635
2890,6602,20140809101350
754,6516,20140809102545
1277,11829,20140809145324
1395,11845,20140809172115
765,11892,20140809155743
2794,6570,20140809163949
765,7149,20140809103930
1165,11892,20140809114437
1165,11892,20140809145311
313,11948,20140809154830
313,11948,20140809161229
