USERID,SHOPID,ARRIVAL_TIME
410,9337,20140809142715
2398,9251,20140809140756
2398,9064,20140809123808
2326,9251,20140809163345
2326,9098,20140809101028
2326,9324,20140809174704
2428,5034,20140809141340
2428,4868,20140809102735
1327,10759,20140809141755
134,186,20140809151228
134,186,20140809180309
134,186,20140809143348
2078,6662,20140809121752
2078,6606,20140809174312
2078,6606,20140809104130
2078,6657,20140809144944
2078,6657,20140809155438
2078,6615,20140809135233
2078,6615,20140809113124
2776,1058,20140809111527
2776,2199,20140809163430
494,7765,20140809155306
494,7765,20140809132651
494,,20140809143538
2245,3873,20140809183822
2245,3736,20140809172752
2690,7943,20140809161344
767,4440,20140809184943
767,5025,20140809174935
767,3880,20140809112406
2655,,20140809131206
2655,3771,20140809153235
492,9069,20140809131432
492,9449,20140809121607
492,9467,20140809153925
1294,560,20140809170926
1278,9195,20140809111206
763,553,20140809154910
2760,558,20140809162913
1305,558,20140809155824
598,9118,20140809171243
545,661,20140809110819
545,9123,20140809120330
545,9123,20140809163727
2609,659,20140809121939
1182,9151,20140809175307
1182,9119,20140809150405
799,782,20140809155637
128,974,20140809152952
128,831,20140809131156
2031,818,20140809101647
1273,2199,20140809170226
1273,2174,20140809124020
1273,2199,20140809164646
1188,,20140809175613
1188,8940,20140809145907
1188,8940,20140809150635
1188,8940,20140809165450
1188,8940,20140809102455
1381,2199,20140809174247
1184,8940,20140809142119
1184,8931,20140809102040
99,2037,20140809182117
2370,,20140809105703
2370,8061,20140809135208
2370,8061,20140809123500
2876,1237,20140809120441
2614,8506,20140809144944
2614,8476,20140809162625
781,818,20140809154721
255,782,20140809111330
188,9566,20140809103011
188,9567,20140809112204
188,9537,20140809190446
2685,9582,20140809174413
1839,1788,20140809170656
723,9566,20140809141100
1733,3119,20140809175804
1733,813,20140809162151
558,1689,20140809115943
558,1881,20140809153019
558,1874,20140809190851
1168,1778,20140809192105
1996,3287,20140809165154
1905,3181,20140809192814
1152,2134,20140809182914
1044,8061,20140809124833
1044,8061,20140809132735
2537,2258,20140809193645
2537,4986,20140809141710
2537,3836,20140809131412
565,2241,20140809154259
281,3116,20140809153347
2580,3041,20140809104037
2580,3041,20140809185614
1993,1869,20140809173203
1993,1869,20140809101853
898,9739,20140809144031
898,9739,20140809193736
687,3201,20140809173501
2308,9647,20140809125958
2308,9647,20140809145303
618,1910,20140809174903
473,2275,20140809133734
473,1919,20140809141523
2412,8061,20140809103359
2412,9119,20140809152830
2555,9781,20140809142744
788,3344,20140809104248
176,9667,20140809121730
176,9715,20140809135713
176,9667,20140809141745
176,9715,20140809152329
1013,3344,20140809120909
2755,9667,20140809100209
2755,9667,20140809112654
2755,9715,20140809163651
110,3546,20140809173116
2087,3405,20140809190149
363,3526,20140809101516
2450,,20140809130025
2450,3492,20140809115336
2195,3405,20140809172901
1806,3405,20140809191502
1806,3405,20140809184155
37,3572,20140809150309
755,3527,20140809124432
1465,3527,20140809185225
1465,3527,20140809154106
1465,3527,20140809143444
1465,3527,20140809115327
2429,3527,20140809191933
2434,3497,20140809122027
2489,9866,20140809191220
2003,3452,20140809182716
2003,3850,20140809134555
2847,3492,20140809101737
1068,9089,20140809132544
1210,8979,20140809120534
1210,9056,20140809183843
404,9318,20140809115203
404,8991,20140809140655
404,8991,20140809165555
404,9008,20140809174920
1118,10481,20140809160516
2591,3830,20140809122638
329,3753,20140809190117
2728,9019,20140809195853
2728,9164,20140809114747
1798,4848,20140809121357
1798,3790,20140809155933
725,4910,20140809110653
725,3745,20140809172018
1903,3836,20140809104551
641,4940,20140809172329
2260,3826,20140809170227
2071,3774,20140809165221
2071,4440,20140809123553
1534,4868,20140809133829
2699,3746,20140809112920
2627,3746,20140809134511
2627,4440,20140809192352
2352,3736,20140809115508
854,4868,20140809175800
1175,4440,20140809102615
72,4440,20140809113606
72,3736,20140809154243
72,3736,20140809173900
69,3736,20140809115410
152,3861,20140809160955
152,4947,20140809195045
450,10382,20140809154642
450,10382,20140809140512
450,10706,20140809104036
1473,4304,20140809153733
926,4287,20140809195136
926,4287,20140809160208
2901,4287,20140809193513
2901,4394,20140809115813
2507,4429,20140809102158
2507,4387,20140809151804
1752,4304,20140809141038
2520,4294,20140809161521
2163,4294,20140809110630
2163,4369,20140809135410
2608,4304,20140809191535
2530,4347,20140809114542
2530,4347,20140809124104
1225,4363,20140809191523
1225,4363,20140809160918
1225,4363,20140809114827
427,4393,20140809165730
427,4319,20140809145758
1242,10462,20140809175508
127,4304,20140809173454
1464,9089,20140809195239
1464,9057,20140809170235
433,5042,20140809174853
680,5906,20140809172248
1498,4607,20140809180646
2899,4519,20140809153258
1511,11249,20140809175627
612,4655,20140809175412
1440,4483,20140809142550
2476,4483,20140809143107
1129,4627,20140809104252
1129,4627,20140809110508
2059,4627,20140809162313
849,4602,20140809131734
669,4627,20140809150432
597,11392,20140809125032
1127,11384,20140809134909
49,9235,20140809155111
49,9067,20140809130543
49,9145,20140809172919
2025,4440,20140809190245
387,5003,20140809103748
2836,4895,20140809102432
1102,3826,20140809144552
916,4880,20140809113429
1834,9027,20140809182545
1834,9151,20140809145427
1834,9324,20140809104349
1778,4848,20140809103129
1778,3767,20140809133210
1248,8984,20140809141549
1248,638,20140809153500
567,4848,20140809120037
1948,9177,20140809153315
1948,9333,20140809110145
1948,9333,20140809105728
2264,9152,20140809111745
2264,9279,20140809180940
2264,9151,20140809104240
1387,4848,20140809172017
1387,4901,20140809133756
1387,4901,20140809143235
1387,4940,20140809154803
1387,4940,20140809165532
1387,5012,20140809183446
2411,3836,20140809122226
1501,3795,20140809153621
1501,3795,20140809165128
1501,3795,20140809123149
1501,3795,20140809105945
804,4910,20140809131512
1510,4910,20140809152655
1510,3792,20140809110918
496,3733,20140809172000
496,3733,20140809151153
496,5034,20140809191947
1311,5152,20140809100409
1054,3773,20140809190832
1739,5099,20140809150534
1739,5099,20140809135551
1820,5099,20140809180430
1808,5240,20140809191845
896,5238,20140809133833
14,10573,20140809144803
14,10573,20140809164939
14,10573,20140809174523
2062,5148,20140809160324
2062,5148,20140809145032
2062,5238,20140809154443
2062,5241,20140809192157
167,5241,20140809134353
167,5241,20140809122419
